dataset_doi	dataset_key	dataset_title	dataset_citation	number_records
10.15468/pj62sn	8cec13a3-9f7f-435f-b750-bf79ce5368ae	ACQUISITION_CBNMC		25
10.15468/zrlqok	d29d79fd-2dc4-4ef5-89b8-cdf66994de0d	Vascular plant herbarium TRH, NTNU University Museum		24
10.15468/uecyo6	0d8cc344-d880-42ec-a200-40b4ad71affd	Centralisation des observations floristiques dans le cadre du SINP - Observations floristiques - plateforme SINP régionale SILENE   PACA		23
10.15468/kllkyl	38b4c89f-584c-41bb-bd8f-cd1def33e92f	Artportalen (Swedish Species Observation System)	Liljeblad J (2022). Artportalen (Swedish Species Observation System). Version 92.287. SLU Artdatabanken. Occurrence dataset https://doi.org/10.15468/kllkyl accessed via GBIF.org on 2022-11-19.	23
10.15468/2cp7ye	4ebe5835-851f-43fd-beed-afade357bfc7	Centralisation des observations floristiques - Observations floristiques floutées issues de la base de données flore du Conservatoire botanique national alpin		23
10.15468/vctras	dd238f50-f594-4e51-82af-033227ccab55	Données acquises par le Conservatoire botanique national du Bassin parisien et son réseau (bénévoles, associations, autres structures professionnelles) - Flore du Bassin parisien (CBNBP)		23
10.15468/wtlymk	e45c7d91-81c6-4455-86e3-2965a5739b1f	Vascular Plant Herbarium, Oslo (O) UiO		23
10.15468/jh3jz8	f7e109bd-af62-4642-8dcd-9e60567fd169	17 - inventaire général de la flore et de la fonge issu de la bibliographie - CBNA - inventaires de la flore et de la fonge issus du dépouillement de la bibliographie		22
10.15468/soyil7	1e98cc26-065e-40ca-9c57-20fa0a2f4981	Herbarium Horti Botanici Pisani (PI), Sistema Museale di Ateneo, Università di Pisa	All the help and manifold efforts by persons and organisations who inspired and promoted the ongoing projects of the digitization of botanical specimens is herewith gratefully acknowledged.	20
10.15468/eepzxm	7b904404-f762-11e1-a439-00145eb45e9a	Tiroler Landesmuseum Ferdinandeum	Tiroler Landesmuseum Ferdinandeum. Tiroler Landesmuseum Ferdinandeum. Occurrence Dataset https://doi.org/10.15468/eepzxm accessed via GBIF.org on 2018-02-28.	20
10.15468/rsvnif	f60e31a5-dc12-44c1-8358-098f131cd141	Welsh BSBI data (ex-VPDB dataset) at hectad resolution		17
10.15468/s55f2k	f873ef66-231a-4ea3-bd4d-a16f182bf337	Academy of Natural Sciences of Drexel University		16
10.15468/ofn0lf	4db619a6-9429-4bef-90c9-06cc90c39552	Vascular Plant Herbarium, UiB		15
10.15468/2zv874	c9e31c10-6986-4795-8244-30ad2486d0bb	Florient - a database dealing with historic wild plant occurrences	Vannerum K, Van den Brempt P, Lambrecht T, Brosens D (2021): Florient - a database dealing with historic wild plant occurrences. v1.4. Ghent University. Dataset/Occurrence. https://ipt.biodiversity.be/resource?r=florient-occurrences&v=1.4	15
10.15468/6e8nje	d415c253-4d61-4459-9d25-4015b9084fb0	The New York Botanical Garden Herbarium (NY)		15
10.15468/llasrt	8ef95309-811f-4c3b-a329-a85368e774c9	Scottish SNH-funded BSBI records		14
10.15468/cpnhcc	902c8fe7-8f38-45b0-854e-c324fed36303	Moscow University Herbarium (MW)	"Seregin AP (Ed.) 2017. Collection ""Moscow Digital Herbarium"" // Depository of Live Systems (branch ""Plants""): Electronic resource. – Moscow State University, Moscow. – Available at: https://plant.depo.msu.ru/module/collectionpublic?openparams=%5Bopen-id%3D1524305%5D (access date)."	14
10.15468/axsv9e	e49a712e-ec7b-4e7d-b916-8dcabf589979	Wikiplantbase #Liguria		14
10.15468/enappj	306aab9c-6c36-4cd3-be8c-7848f99a4b0e	7 - Données flore du CBNMed issues de la bibliographie - Divers jeux de données issues de la bibliographie dépouillées par le CBNMED		11
10.15468/hnhrg3	821cc27a-e3bb-4bc5-ac34-89ada245069d	NMNH Extant Specimen Records (USNM, US)	Orrell T,  (2022): NMNH Extant Specimen Records (USNM, US). v1.63. National Museum of Natural History, Smithsonian Institution. Dataset/Occurrence. https://collections.nmnh.si.edu/ipt/resource?r=nmnh_extant_dwc-a&v=1.63	11
10.15468/54hgbz	84b18cce-083a-4464-bee8-25b2083a17cd	Natural History Collections of the Faculty of Biology AMU		11
10.15468/b4yqdy	95e635d4-f762-11e1-a439-00145eb45e9a	Banco de Datos de la Biodiversidad de la Comunitat Valenciana	NA	11
10.15468/cfhmbw	bf97ab5c-c909-4d0b-ae3c-7d34775770f9	Wikiplantbase #Italia		11
